,,,,,,,,,,,,,,
,,Booking Guide,https://www.carfinco.com/en/car-q/,Booking Guide,Booking Guide,Booking Guide,Booking Guide,Booking Guide,Booking Guide,,,,,
,,https://www.carfinco.com/,,,https://www.edenparkcanada.com/,http://www.lendcare.ca/en/,http://sourceonefinancial.ca/,https://www.scotiabank.com/,https://www.tdautofinance.ca/default.aspx,,,,,
,,Santander,GO-PLAN,,EDEN PARK,LENDCARE,SOURCE ONE,SCOTIA DEALER ADVANTAGE,TD NON PRIME ,ACC,TCL (LEASE) ,,Rifco,
CLIENT DETAILS,900 SIN,NO,Yes but for the length of Visa (Term length of visa) and New to Canada ,NO,NO,,NO ,YESW,(Case by Case),NO,"9SIN(20% DOWN, WORKPERMIT OR VISA, PASSPORT) ",,NO,
,MIN SCORE,,,,,,,,,,,,,
,SECOND UNIT,"Tier or Prime, Tier program has to be minimum 12 Months, auto lates within 12 months",Don't ask for payout of auto loans,YES (CASE BY CASE),YES,,"YES MIN 580 BEACON, 12MONTHS CURRENT LOAN",YES,YES,YES,YES (CASE BY CASE) NO TRADE IN UNLESS TCL ,,WITH CO-JO,
,CO-JO,One loan between the two spouce or common law,Spousal & Parental,SPOUSAL,Anyone,,Family @ same address,ANYONE,CO-APP (MUST BE SPOUSE) CO-JO (ONLY KEY CALL),ANYONE AND DIFF ADDRESS,(CASE BY CASE)PREFER FAMILY/SPOUSAL ,,ANYONE SAME PROVICE,
,DOUBLE BANKO,Y -discharged from 2nd,YES,YES (CASE BY CASE),7 years between,,YES/ NO CREDIT COUNSELLING ,NO,YES (CASE BY CASE),NO,YES CASE BY CASE(NO DEFAULTED PROPOSALS) ,,NOT USUALLY,
,DOUBLE REPO,NO,YES,NO,no,,YES/ NO CREDIT COUNSELLING ,NO,NO,IF IN BANKO,CASE BY CASE BUT USUALLY NO ,,NOT USUALLY,
,SINGLE REPO,Yes after 2 years ,Yes,YES 24 MONTHS BANK / 36 NON BANK,YES 2 YEARS,,YES MIN 2 YEAR DATE LAST REPORTED ,YES IF IT'S 2YEARS ,,YES 2 YEARS,YES ,,YES  ,
,REQUIRE DL,YES incl learners,YES & Learners,YES CLASS 5,YES,,YES,NO,YES / CLIENT I.D,YES,LOCAL DL/9SIN INTERNATIONAL ACCEPTED ,,YES,
